               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  50,             0.10614,           0.0090474,            0.031344,           0.0023163,             0.22967,           0.0017187,          0.00036498,             0.10438,           0.0062232,            0.031694,          0.00084054,          0.00084054,          0.00084054
                  51,             0.10598,           0.0088989,            0.031296,           0.0023213,             0.23036,           0.0017239,          0.00036507,             0.10438,           0.0062107,            0.031681,           0.0008332,           0.0008332,           0.0008332
                  52,             0.10582,           0.0085776,            0.031308,           0.0023022,              0.2285,           0.0016667,          0.00035321,              0.1043,           0.0062113,            0.031691,          0.00082586,          0.00082586,          0.00082586
                  53,             0.10587,           0.0086716,            0.031321,           0.0022976,             0.22752,           0.0016521,          0.00035653,             0.10437,           0.0062069,            0.031704,          0.00081853,          0.00081853,          0.00081853
                  54,             0.10595,           0.0087847,            0.031309,           0.0022925,             0.22703,           0.0016695,          0.00035422,             0.10434,           0.0062155,             0.03169,          0.00081119,          0.00081119,          0.00081119
                  55,             0.10595,           0.0088939,             0.03134,           0.0023074,             0.22909,           0.0016968,          0.00036177,             0.10439,           0.0062219,             0.03169,          0.00080386,          0.00080386,          0.00080386
                  56,             0.10584,           0.0084084,            0.031293,           0.0022908,             0.22748,           0.0016498,           0.0003495,             0.10432,           0.0062066,            0.031698,          0.00079652,          0.00079652,          0.00079652
                  57,             0.10577,           0.0083546,            0.031305,           0.0022992,             0.22768,           0.0016564,           0.0003516,             0.10428,           0.0062105,            0.031699,          0.00078918,          0.00078918,          0.00078918
                  58,             0.10596,           0.0087897,            0.031305,           0.0022943,             0.22735,           0.0016697,          0.00035494,             0.10435,           0.0062108,            0.031689,          0.00078185,          0.00078185,          0.00078185
                  59,             0.10595,           0.0089836,            0.031312,           0.0023082,             0.22929,           0.0016875,          0.00035645,             0.10436,           0.0062172,            0.031685,          0.00077451,          0.00077451,          0.00077451
                  60,             0.10588,           0.0085554,            0.031374,           0.0022839,             0.22654,           0.0016599,          0.00035104,             0.10436,           0.0062091,            0.031695,          0.00076718,          0.00076718,          0.00076718
                  61,             0.10591,           0.0090045,            0.031346,            0.002306,             0.22931,            0.001672,          0.00035606,             0.10439,           0.0062109,            0.031695,          0.00075984,          0.00075984,          0.00075984
                  62,             0.10606,           0.0088001,            0.031306,           0.0023075,             0.22848,           0.0016739,          0.00035545,             0.10436,           0.0062163,            0.031696,           0.0007525,           0.0007525,           0.0007525
                  63,             0.10612,           0.0091487,            0.031353,           0.0023174,              0.2301,           0.0017214,          0.00036502,              0.1044,           0.0062137,            0.031695,          0.00074517,          0.00074517,          0.00074517
