               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  47,           0.0082482,            0.017067,          0.00047404,             0.99994,                   1,               0.995,             0.99001,           0.0038711,           0.0047694,           0.0002318,           0.0043568,           0.0043568,           0.0043568
                  48,           0.0081148,            0.016898,          0.00049873,             0.99993,                   1,               0.995,             0.99115,            0.003805,           0.0046787,          0.00022096,           0.0042776,           0.0042776,           0.0042776
                  49,           0.0079236,            0.016492,          0.00045641,             0.99993,             0.99999,               0.995,             0.99117,           0.0037616,           0.0046243,          0.00021787,           0.0041984,           0.0041984,           0.0041984
                  50,            0.007943,            0.016828,            0.000474,             0.99992,                   1,               0.995,             0.99126,           0.0037138,           0.0045685,          0.00020798,           0.0041192,           0.0041192,           0.0041192
                  51,           0.0077825,            0.016666,          0.00046393,             0.99993,                   1,               0.995,             0.99113,           0.0037446,           0.0046252,          0.00018993,             0.00404,             0.00404,             0.00404
                  52,           0.0076938,            0.016785,          0.00045296,             0.99993,                   1,               0.995,             0.99106,           0.0037181,            0.004623,          0.00020055,           0.0039608,           0.0039608,           0.0039608
                  53,           0.0077207,            0.016313,          0.00044413,             0.99985,             0.99994,               0.995,             0.99107,           0.0036432,           0.0045525,          0.00018446,           0.0038816,           0.0038816,           0.0038816
                  54,           0.0075303,            0.016085,          0.00045044,              0.9999,             0.99998,               0.995,             0.99143,           0.0035869,           0.0044873,          0.00016567,           0.0038024,           0.0038024,           0.0038024
                  55,            0.007474,             0.01633,          0.00044248,             0.99993,                   1,               0.995,              0.9919,           0.0035476,           0.0044617,          0.00016543,           0.0037232,           0.0037232,           0.0037232
                  56,            0.007339,            0.015685,          0.00041481,             0.99995,                   1,               0.995,             0.99193,           0.0035659,           0.0044555,          0.00017096,            0.003644,            0.003644,            0.003644
                  57,           0.0072689,            0.015449,          0.00042161,              0.9999,             0.99999,               0.995,             0.99193,           0.0035833,           0.0045017,          0.00016231,           0.0035648,           0.0035648,           0.0035648
