               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,           0.0072811,            0.012552,          0.00050738,             0.99992,             0.99989,               0.995,             0.99238,           0.0033228,           0.0044689,          0.00024565,            0.005248,            0.005248,            0.005248
                  50,           0.0072888,            0.012546,          0.00049311,              0.9999,             0.99996,               0.995,             0.99248,            0.003318,           0.0044253,          0.00024002,            0.005149,            0.005149,            0.005149
                  51,            0.007172,            0.012374,          0.00045185,             0.99989,              0.9999,               0.995,              0.9928,           0.0032824,           0.0044265,          0.00023455,             0.00505,             0.00505,             0.00505
                  52,           0.0070751,            0.012349,          0.00046508,             0.99991,             0.99995,               0.995,             0.99265,           0.0032724,           0.0044229,          0.00022469,            0.004951,            0.004951,            0.004951
                  53,           0.0069921,            0.012176,          0.00044102,             0.99989,             0.99998,               0.995,             0.99276,           0.0032522,           0.0044339,          0.00021802,            0.004852,            0.004852,            0.004852
                  54,           0.0069526,            0.012242,          0.00044298,             0.99991,             0.99992,               0.995,             0.99278,           0.0032306,            0.004394,          0.00021166,            0.004753,            0.004753,            0.004753
                  55,           0.0069059,            0.012127,          0.00045269,              0.9999,             0.99994,               0.995,             0.99287,           0.0032082,           0.0043572,          0.00020423,            0.004654,            0.004654,            0.004654
                  56,           0.0068097,             0.01201,          0.00041007,             0.99991,             0.99997,               0.995,             0.99279,           0.0032012,           0.0043583,          0.00019656,            0.004555,            0.004555,            0.004555
                  57,           0.0067463,            0.012113,          0.00039783,             0.99989,             0.99994,               0.995,             0.99301,           0.0031753,           0.0043406,          0.00018944,            0.004456,            0.004456,            0.004456
                  58,           0.0066077,            0.011881,           0.0004134,             0.99988,             0.99994,               0.995,             0.99322,            0.003159,           0.0043238,          0.00018767,            0.004357,            0.004357,            0.004357
                  59,           0.0064851,            0.011818,           0.0004334,             0.99988,             0.99995,               0.995,             0.99288,           0.0031466,            0.004312,          0.00018243,            0.004258,            0.004258,            0.004258
                  60,           0.0065588,            0.011706,          0.00038128,             0.99987,             0.99995,               0.995,             0.99293,           0.0031367,           0.0043036,          0.00017521,            0.004159,            0.004159,            0.004159
                  61,           0.0064178,            0.011575,           0.0004048,             0.99987,             0.99991,               0.995,             0.99316,           0.0031176,           0.0043072,          0.00016733,             0.00406,             0.00406,             0.00406
                  62,           0.0063652,            0.011618,          0.00038182,             0.99988,             0.99991,               0.995,             0.99314,           0.0030972,           0.0042934,          0.00015877,            0.003961,            0.003961,            0.003961
                  63,            0.006279,            0.011626,           0.0003982,             0.99989,             0.99989,               0.995,             0.99309,           0.0031075,           0.0043111,          0.00015485,            0.003862,            0.003862,            0.003862
                  64,           0.0062123,            0.011415,          0.00036033,             0.99988,             0.99987,               0.995,             0.99317,           0.0030815,           0.0042673,          0.00015213,            0.003763,            0.003763,            0.003763
                  65,           0.0061328,             0.01132,          0.00036974,             0.99988,             0.99982,               0.995,             0.99325,           0.0030565,           0.0042344,          0.00014515,            0.003664,            0.003664,            0.003664
                  66,           0.0060345,            0.011334,          0.00035962,             0.99989,             0.99983,               0.995,             0.99321,           0.0030536,           0.0042165,          0.00013813,            0.003565,            0.003565,            0.003565
                  67,           0.0060221,            0.011195,          0.00037252,             0.99989,              0.9999,               0.995,             0.99325,           0.0030515,           0.0042097,          0.00012754,            0.003466,            0.003466,            0.003466
                  68,           0.0058776,            0.011139,          0.00035503,             0.99989,             0.99992,               0.995,             0.99322,           0.0030415,           0.0041886,          0.00011808,            0.003367,            0.003367,            0.003367
                  69,           0.0058442,            0.011155,          0.00036415,             0.99987,             0.99993,               0.995,             0.99324,           0.0030244,            0.004168,          0.00011106,            0.003268,            0.003268,            0.003268
                  70,           0.0058016,            0.011008,          0.00033014,             0.99985,             0.99993,               0.995,             0.99364,           0.0030133,           0.0041613,          0.00010486,            0.003169,            0.003169,            0.003169
                  71,           0.0057157,            0.010967,          0.00034088,             0.99987,             0.99993,               0.995,             0.99343,           0.0030002,           0.0041564,          9.7142e-05,             0.00307,             0.00307,             0.00307
                  72,           0.0056666,            0.010893,          0.00031448,             0.99988,             0.99993,               0.995,              0.9935,           0.0029867,           0.0041432,          9.1039e-05,            0.002971,            0.002971,            0.002971
                  73,           0.0055629,             0.01067,          0.00032087,             0.99988,             0.99993,               0.995,             0.99348,           0.0029767,           0.0041401,           8.402e-05,            0.002872,            0.002872,            0.002872
                  74,           0.0055333,            0.010905,          0.00030135,             0.99988,             0.99993,               0.995,             0.99372,           0.0029721,           0.0041388,          7.6423e-05,            0.002773,            0.002773,            0.002773
                  75,            0.005434,             0.01055,          0.00030537,             0.99988,             0.99993,               0.995,             0.99368,           0.0029664,           0.0041395,          7.0409e-05,            0.002674,            0.002674,            0.002674
                  76,           0.0053653,            0.010558,          0.00029946,             0.99988,             0.99994,               0.995,             0.99353,           0.0029601,           0.0041286,          6.5734e-05,            0.002575,            0.002575,            0.002575
                  77,           0.0053238,            0.010497,          0.00029965,             0.99988,             0.99994,               0.995,             0.99368,           0.0029557,           0.0041268,          6.0375e-05,            0.002476,            0.002476,            0.002476
                  78,           0.0052708,            0.010381,          0.00028544,              0.9999,             0.99994,               0.995,             0.99355,           0.0029507,           0.0041242,          5.5068e-05,            0.002377,            0.002377,            0.002377
                  79,           0.0051999,            0.010291,          0.00026433,             0.99989,             0.99995,               0.995,             0.99354,           0.0029443,           0.0041254,          5.1529e-05,            0.002278,            0.002278,            0.002278
                  80,            0.005106,             0.01013,           0.0002596,              0.9999,             0.99994,               0.995,             0.99373,           0.0029359,           0.0041157,          4.7961e-05,            0.002179,            0.002179,            0.002179
                  81,           0.0050664,             0.01028,          0.00026735,              0.9999,             0.99994,               0.995,             0.99387,           0.0029264,           0.0041018,           4.503e-05,             0.00208,             0.00208,             0.00208
                  82,           0.0049702,            0.010166,          0.00024779,             0.99989,             0.99995,               0.995,             0.99372,            0.002918,           0.0040937,          4.2543e-05,            0.001981,            0.001981,            0.001981
                  83,            0.004945,             0.01009,          0.00024267,             0.99989,             0.99995,               0.995,             0.99375,           0.0029135,           0.0040882,          3.9822e-05,            0.001882,            0.001882,            0.001882
                  84,           0.0048638,           0.0099855,          0.00023173,              0.9999,             0.99994,               0.995,             0.99375,           0.0029085,           0.0040858,          3.7318e-05,            0.001783,            0.001783,            0.001783
                  85,           0.0048269,            0.009951,           0.0002398,             0.99991,             0.99994,               0.995,             0.99373,           0.0029077,           0.0040827,           3.506e-05,            0.001684,            0.001684,            0.001684
                  86,           0.0047185,           0.0099163,          0.00022717,             0.99991,             0.99993,               0.995,             0.99373,            0.002902,           0.0040755,          3.2743e-05,            0.001585,            0.001585,            0.001585
                  87,           0.0046719,           0.0098282,          0.00023117,             0.99991,             0.99993,               0.995,             0.99376,           0.0028969,           0.0040699,          3.0521e-05,            0.001486,            0.001486,            0.001486
                  88,           0.0046246,            0.009628,          0.00018322,             0.99992,             0.99993,               0.995,             0.99377,            0.002891,           0.0040662,          2.8434e-05,            0.001387,            0.001387,            0.001387
                  89,           0.0045221,           0.0095871,           0.0001907,             0.99992,             0.99993,               0.995,             0.99359,           0.0028871,           0.0040605,          2.6721e-05,            0.001288,            0.001288,            0.001288
                  90,           0.0044956,           0.0095815,          0.00017956,             0.99992,             0.99993,               0.995,             0.99362,           0.0028835,           0.0040561,          2.5216e-05,            0.001189,            0.001189,            0.001189
                  91,           0.0044212,           0.0094539,          0.00018596,             0.99992,             0.99993,               0.995,              0.9938,           0.0028836,           0.0040573,          2.3956e-05,             0.00109,             0.00109,             0.00109
                  92,           0.0043454,           0.0094039,          0.00015282,             0.99992,             0.99993,               0.995,             0.99382,           0.0028797,           0.0040545,          2.2836e-05,            0.000991,            0.000991,            0.000991
                  93,           0.0043176,           0.0093741,          0.00016866,             0.99992,             0.99993,               0.995,             0.99403,           0.0028737,           0.0040493,          2.1773e-05,            0.000892,            0.000892,            0.000892
                  94,           0.0042693,           0.0093238,          0.00014705,             0.99992,             0.99993,               0.995,             0.99402,           0.0028708,           0.0040464,          2.0761e-05,            0.000793,            0.000793,            0.000793
                  95,           0.0042052,           0.0092145,          0.00015974,             0.99992,             0.99993,               0.995,             0.99386,           0.0028675,           0.0040431,          1.9606e-05,            0.000694,            0.000694,            0.000694
                  96,           0.0041619,           0.0091877,          0.00017033,             0.99992,             0.99993,               0.995,             0.99402,           0.0028654,           0.0040407,          1.8308e-05,            0.000595,            0.000595,            0.000595
                  97,           0.0041433,            0.009116,          0.00015882,             0.99992,             0.99993,               0.995,             0.99402,           0.0028619,           0.0040381,          1.6782e-05,            0.000496,            0.000496,            0.000496
                  98,           0.0040878,           0.0090228,          0.00013202,             0.99992,             0.99993,               0.995,             0.99384,           0.0028597,            0.004038,          1.4929e-05,            0.000397,            0.000397,            0.000397
                  99,           0.0040388,           0.0090536,          0.00014103,             0.99992,             0.99994,               0.995,             0.99388,           0.0028562,            0.004035,          1.2802e-05,            0.000298,            0.000298,            0.000298
